nom;points de vie;attaque;defense;vitesse;type
Capumain;55;70;55;85;Normal
Cerfrousse;73;95;62;85;Normal
Chaffreux;71;82;64;112;Normal
Chaglam;49;55;42;85;Normal
Chinchidou;55;50;40;75;Normal
Chuchmur;64;51;23;28;Normal
Couafarel;75;80;60;102;Normal
Coudlangue;110;85;95;50;Normal
Delcatty;70;65;65;90;Normal
Ecremeuh;95;80;105;100;Normal
Evoli;55;55;50;55;Normal
Evoli;65;75;70;75;Normal
Excelangue;90;55;75;30;Normal
Fouinar;85;76;64;90;Normal
Fouinette;35;46;34;20;Normal
Frison;95;110;95;55;Normal
Goinfrex;135;85;40;5;Normal
Insolourdo;100;70;70;45;Normal
Kangourex;105;95;80;90;Normal
Kecleon;60;90;70;40;Normal
Keunotor;59;45;40;31;Normal
Laporeille;55;66;44;85;Normal
Leuphorie;255;10;10;55;Normal
Leveinard;250;5;5;50;Normal
Lineon;78;70;61;100;Normal
Lockpin;65;76;84;105;Normal
Lockpin;65;136;94;135;Normal
Mangriff;73;115;60;90;Normal
Mastouffe;85;110;90;80;Normal
Metamorph;48;48;48;48;Normal
Miaouss;40;45;35;90;Normal
Miaouss;40;35;35;90;Normal
Miradar;60;85;69;77;Normal
Monaflemit;150;160;100;100;Normal
Nanmeouie;103;60;126;50;Normal
Parecool;60;60;60;30;Normal
Pashmilla;75;95;60;115;Normal
Persian;65;70;60;115;Normal
Ponchien;65;80;65;60;Normal
Ponchiot;45;60;45;55;Normal
Porygon;65;60;70;40;Normal
Porygon2;85;80;90;60;Normal
Porygon-Z;85;80;70;90;Normal
Ptiravi;100;5;5;30;Normal
Queulorior;55;20;35;75;Normal
Ramboum;84;71;43;48;Normal
Ratentif;45;55;39;42;Normal
Rattata;30;56;35;72;Normal
Rattatac;55;81;60;97;Normal
Regigigas;110;160;110;100;Normal
Ronflex;160;110;65;30;Normal
Sapereau;38;36;38;57;Normal
Skitty;50;45;45;50;Normal
Spinda;60;60;60;60;Normal
Tauros;75;100;95;110;Normal
Teddiursa;60;80;50;40;Normal
Ursaring;90;130;75;55;Normal
Vigoroth;80;80;80;90;Normal
Zigzaton;38;30;41;60;Normal
Arcko;40;45;35;70;Plante
Balignon;60;40;60;35;Plante
Boguerisse;61;78;95;57;Plante
Boskara;75;89;85;36;Plante
Bouldeneu;100;100;125;50;Plante
Cabriolaine;66;65;48;52;Plante
Cacnea;50;85;40;35;Plante
Ceribou;45;35;45;35;Plante
Ceriflor;70;60;70;85;Plante
Chevroum;123;100;62;68;Plante
Chlorobule;45;35;50;30;Plante
Feuillajou;50;53;48;64;Plante
Feuiloutan;75;98;63;101;Plante
Fragilady;70;60;75;90;Plante
Germignon;45;49;65;45;Plante
Grainipiot;40;40;50;30;Plante
Heliatronc;75;75;55;30;Plante
Joliflor;75;80;95;50;Plante
Jungko;70;85;65;120;Plante
Jungko;70;110;75;145;Plante
Lianaja;60;60;75;83;Plante
Macronium;60;62;80;60;Plante
Majaspic;75;75;95;113;Plante
Maracachi;75;86;67;60;Plante
Marisson;56;61;65;38;Plante
Massko;50;65;45;95;Plante
Meganium;80;82;100;80;Plante
Phyllali;65;110;130;95;Plante
Saquedeneu;65;55;115;60;Plante
Shaymin;100;100;100;100;Plante
Shaymin;100;103;75;127;Plante
Tortipouss;55;68;64;31;Plante
Tournegrin;30;30;30;30;Plante
Vipelierre;45;45;55;63;Plante
Vortente;74;100;72;46;Plante
Abo;35;60;44;55;Poison
Arbok;60;95;69;80;Poison
Avaltout;100;73;83;55;Poison
Gloupti;70;43;53;40;Poison
Grotadmorv;105;105;75;50;Poison
Grotadmorv;105;105;75;50;Poison
Miamiasme;50;50;62;65;Poison
Miasmax;80;95;82;75;Poison
Nidoran F;55;47;52;41;Poison
Nidoran M;46;57;40;50;Poison
Nidorina;70;62;67;56;Poison
Nidorino;61;72;57;65;Poison
Seviper;73;100;60;65;Poison
Smogo;40;65;95;35;Poison
Smogogo;65;90;120;60;Poison
Tadmorv;80;80;50;25;Poison
Tadmorv;80;80;50;25;Poison
Abra;25;20;15;90;Psy
Alakazam;55;50;65;150;Psy
Crefadet;75;125;70;115;Psy
Crefollet;80;105;105;80;Psy
Crehelf;75;75;130;95;Psy
Cresselia;120;70;120;85;Psy
Deoxys;50;95;90;180;Psy
Eoko;75;50;80;65;Psy
Groret;80;45;65;80;Psy
Hypnomade;85;73;70;67;Psy
Kadabra;40;35;30;105;Psy
Korillon;45;30;50;45;Psy
Lewsor;55;55;55;30;Psy
Meios;65;40;50;30;Psy
Mentali;65;65;60;110;Psy
Mesmerella;60;45;70;55;Psy
Mew;100;100;100;100;Psy
Mewtwo;106;150;70;140;Psy
Mistigrix;74;48;76;104;Psy
Mistigrix;74;48;76;104;Psy
Munna;76;25;45;24;Psy
Mushana;116;55;85;29;Psy
Neitram;75;75;75;40;Psy
Nucleos;45;30;40;20;Psy
Okeoke;95;23;48;23;Psy
Psystigri;62;48;54;68;Psy
Qulbutoke;190;33;58;33;Psy
Scrutella;45;30;50;45;Psy
Siderella;70;55;95;65;Psy
Soporifik;60;48;45;42;Psy
Spoink;60;25;35;60;Psy
Symbios;110;65;75;30;Psy
Zarbi;48;72;48;48;Psy
Charkos;97;165;60;58;Roche
Geolithe;70;105;105;20;Roche
Gigalithe;85;135;130;25;Roche
Kranidos;67;125;40;58;Roche
Manzai;50;80;95;10;Roche
Nodulithe;55;75;85;15;Roche
Regirock;80;100;200;50;Roche
Simularbre;70;100;115;30;Roche
Tarinor;30;45;135;30;Roche
Donphan;90;120;120;50;Sol
Groudon;100;150;140;90;Sol
Groudon;100;180;160;90;Sol
Hippopotas;68;72;78;32;Sol
Kraknoix;45;100;45;10;Sol
Ossatueur;60;80;110;45;Sol
Ossatueur;60;80;110;45;Sol
Osselait;50;50;95;35;Sol
Phanpy;90;60;60;40;Sol
Rototaupe;60;85;40;68;Sol
Sabelette;50;75;85;40;Sol
Sabelette;50;75;90;40;Sol
Sablaireau;75;100;110;65;Sol
Sablaireau;75;100;120;65;Sol
Taupiqueur;10;55;30;90;Sol
Triopikeur;35;100;50;120;Sol
Triopikeur;35;100;60;110;Sol
Branette;64;115;65;65;Spectre
Branette;64;165;75;75;Spectre
Feuforeve;60;60;60;85;Spectre
Magireve;60;60;60;105;Spectre
Noctunoir;45;100;135;45;Spectre
Polichombr;44;75;35;45;Spectre
Skelenox;20;40;90;25;Spectre
Teraclope;40;70;130;25;Spectre
Tutafeh;38;30;85;30;Spectre
Tutankafer;58;50;145;30;Spectre
Absol;65;130;60;75;Ténèbres
Absol;65;150;60;115;Ténèbres
Chacripan;41;50;37;66;Ténèbres
Darkrai;70;90;90;125;Ténèbres
Grahyena;70;90;70;70;Ténèbres
Leopardus;64;88;50;106;Ténèbres
Medhyena;35;55;35;35;Ténèbres
Noctali;95;65;110;65;Ténèbres
Zoroark;60;105;60;105;Ténèbres
Zorua;40;65;40;65;Ténèbres
Boreas;79;115;70;111;Vol
Boreas;79;100;80;121;Vol
